Date,Adj_Close
1/3/2017,74.89
1/4/2017,77.05
1/5/2017,79.06
1/6/2017,79.39
1/9/2017,82.86
1/10/2017,82.93
1/11/2017,81.93
1/12/2017,82.39
1/13/2017,83.17
1/17/2017,81.55
1/18/2017,82.52
1/19/2017,80.91
1/20/2017,81.37
1/23/2017,81.4
1/24/2017,82.24
1/25/2017,85.19
1/26/2017,85.33
1/27/2017,87.37
1/30/2017,84.38
1/31/2017,85.87
2/1/2017,86.24
2/2/2017,86.72
2/3/2017,86.73
2/6/2017,87.42
2/7/2017,86.84
2/8/2017,87.72
2/9/2017,89.27
2/10/2017,88.15
2/13/2017,87.72
2/14/2017,88.91
2/15/2017,89.37
2/16/2017,87.7
2/17/2017,88.33
2/21/2017,86.55
2/22/2017,85.79
2/23/2017,85.73
2/24/2017,86.07
2/27/2017,88.9
2/28/2017,90.62
3/1/2017,90.31
3/2/2017,89.89
3/3/2017,90.19
3/6/2017,90.91
3/7/2017,91.32
3/8/2017,92.18
3/9/2017,93.57
3/10/2017,93.98
3/13/2017,92.95
3/14/2017,92.74
3/15/2017,94.57
3/16/2017,92.36
3/17/2017,91.92
3/20/2017,91.31
3/21/2017,89.5
3/22/2017,90.04
3/23/2017,89.05
3/24/2017,89.98
3/27/2017,90.8
3/28/2017,89.67
3/29/2017,108.01
3/30/2017,107.29
3/31/2017,109.35
4/3/2017,107.45
4/4/2017,112.29
4/5/2017,114.11
4/6/2017,114.26
4/7/2017,115.88
4/10/2017,114.06
4/11/2017,114.23
4/12/2017,114.86
4/13/2017,113.8
4/17/2017,114.81
4/18/2017,114.65
4/19/2017,114.63
4/20/2017,117.26
4/21/2017,116.7
4/24/2017,117.66
4/25/2017,117.27
4/26/2017,116.34
4/27/2017,117.42
4/28/2017,118.3
5/1/2017,120.62
5/2/2017,118.47
5/3/2017,119.05
5/4/2017,116.39
5/5/2017,114.84
5/8/2017,115.06
5/9/2017,116.63
5/10/2017,115.35
5/11/2017,115.36
5/12/2017,114.6
5/15/2017,116.23
5/16/2017,118.09
5/17/2017,114.38
5/18/2017,117.93
5/19/2017,118.02
5/22/2017,118.94
5/23/2017,116.59
5/24/2017,117.8
5/25/2017,118.6
5/26/2017,119.92
5/30/2017,120.39
5/31/2017,123.6
6/1/2017,127.16
6/2/2017,129.9
6/5/2017,130.17
6/6/2017,127.72
6/7/2017,124.99
6/8/2017,125.91
6/9/2017,122.66
6/12/2017,122.35
6/13/2017,122.49
6/14/2017,124.71
6/15/2017,124.04
6/16/2017,123.14
6/19/2017,125.58
6/20/2017,126.33
6/21/2017,134.83
6/22/2017,135.53
